"address","city","country_code","domain","fid","kgmid","latitude","longitude","neighborhood","phone","phone_unformatted","place_id","popular_times_weekly/0/close","popular_times_weekly/0/day","popular_times_weekly/0/open","popular_times_weekly/1/close","popular_times_weekly/1/day","popular_times_weekly/1/open","popular_times_weekly/2/close","popular_times_weekly/2/day","popular_times_weekly/2/open","popular_times_weekly/3/close","popular_times_weekly/3/day","popular_times_weekly/3/open","popular_times_weekly/4/close","popular_times_weekly/4/day","popular_times_weekly/4/open","popular_times_weekly/5/close","popular_times_weekly/5/day","popular_times_weekly/5/open","popular_times_weekly/6/close","popular_times_weekly/6/day","popular_times_weekly/6/open","popular_times_weekly/7/close","popular_times_weekly/7/day","popular_times_weekly/7/open","postal_code","reviews_count","state","street","title","total_score","website"
"İnnovation Bakırköy Güzellik Salonu, Zuhuratbaba, Gençler Cad. no:18/A, 34147 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabd51fd3a28ab:0x79b11a9f5fa519d2","/g/11mt4fhndr","40.9807721","28.8726954","Gençler Cad. no:18/A","+905307424834","0530 742 48 34","ChIJqyg6_VG9yhQR0hmlX58asXk","9pm","Saturday","10am","9pm","Saturday","10am",,,,,,,,,,,,,,,,,,,"34147",,"İstanbul","Gençler Cad. no:18/A","İnnovation Bakırköy Güzellik Salonu",,
"BeU Beauty Güzellik Merkezi, CAPACİTY C KAPISI KARŞISI, ZEYTİNLİK MAHALLESİ, FİŞEKHANE CADDESİ, NO:50 DAİRE:10 ÖZLEM APARTMANI, 34100 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cabd26d4f616a9:0x117a39ea1ecb4fa1","/g/11xztgzmcx","40.978139","28.87032","CAPACİTY C KAPISI KARŞISI, ZEYTİNLİK MAHALLESİ, FİŞEKHANE CADDESİ, NO:50 DAİRE:10 ÖZLEM APARTMANI","+905475435343","0547 543 53 43","ChIJqRb21Ca9yhQRoU_LHuo5ehE","7pm","Saturday","9am","7pm","Saturday","9am",,,,,,,,,,,,,,,,,,,"34100",,"İstanbul","CAPACİTY C KAPISI KARŞISI, ZEYTİNLİK MAHALLESİ, FİŞEKHANE CADDESİ, NO:50 DAİRE:10 ÖZLEM APARTMANI","BeU Beauty Güzellik Merkezi",,
"Orion Güzellik Salonu, Yeşilköy, Ümran Sokağı No:30 D:1A, 34149 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14caa2fd09919c6f:0x909db09de8af88d7","/g/11c6_h6n6r","40.9614","28.821926","Ümran Sokağı No:30 D:1A","+902126639101","(0212) 663 91 01","ChIJb5yRCf2iyhQR14iv6J2wnZA","7pm","Saturday","9am","7pm","Saturday","9am",,,,,,,,,,,,,,,,,,,"34149",,"İstanbul","Ümran Sokağı No:30 D:1A","Orion Güzellik Salonu",,
"Fatoş Gamze Beauty Güzellik Merkezi, Cemal Akın Plaza, Şirinevler, Adnan Kahveci Blv. 194/A K:8 D:14, 34188 Bahçelievler/İstanbul, Türkiye","Bahçelievler","TR",,"0x14caa3d51d826d29:0x5c6ea236d4e4fe60","/g/11p72hm668","40.9927324","28.8502464","Cemal Akın Plaza, Adnan Kahveci Blv. 194/A K:8 D:14","+905536280406","0553 628 04 06","ChIJKW2CHdWjyhQRYP7k1Daiblw","8pm","Saturday","10am","8pm","Saturday","10am",,,,,,,,,,,,,,,,,,,"34188",,"İstanbul","Cemal Akın Plaza, Adnan Kahveci Blv. 194/A K:8 D:14","Fatoş Gamze Beauty Güzellik Merkezi",,
"MS güzellik salonu:cilt bakımı ,lazer,manikür pedikür,kalıcıoje,fön,ipek kirpik,boya, Altayçeşme, Seri Sk. 21/A, 34843 Maltepe/İstanbul, Türkiye","Maltepe","TR",,"0x14cac75c352ac91d:0xb582b9044a25c2f9","/g/11ym_25pmz","40.9369381","29.1334389","Seri Sk. 21/A","+905421870040","0542 187 00 40","ChIJHckqNVzHyhQR-cIlSgS5grU","7pm","Saturday","12am","7pm","Saturday","12am",,,,,,,,,,,,,,,,,,,"34843",,"İstanbul","Seri Sk. 21/A","MS güzellik salonu:cilt bakımı ,lazer,manikür pedikür,kalıcıoje,fön,ipek kirpik,boya",,
"Alena Güzellik İstanbul – Kaş, Kirpik, G5 Masaj & Cilt Bakımı, Şehremini, Ahmet Vefikpaşa Cad. no:67, 34000 Fatih/İstanbul, Türkiye","Fatih","TR",,"0x14cabbdbddef1bd3:0x3fdd45c7f9c6b9fc","/g/11x6wqzsd6","41.0121707","28.932902","Ahmet Vefikpaşa Cad. no:67","+905353438265","0535 343 82 65","ChIJ0xvv3du7yhQR_LnG-cdF3T8","8pm","Saturday","10am","8pm","Saturday","10am",,,,,,,,,,,,,,,,,,,"34000",,"İstanbul","Ahmet Vefikpaşa Cad. no:67","Alena Güzellik İstanbul – Kaş, Kirpik, G5 Masaj & Cilt Bakımı",,
"Lady Sauna SPA, Yeşilköy, Gazi Evrenos Cd. No:44, 34149 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14caa2e36a91cfc5:0x86113616b74c1bea","/g/11cly4s3gg","40.960419","28.8351425","Gazi Evrenos Cd. No:44",,,"ChIJxc-RauOiyhQR6htMtxY2EYY","8pm","Saturday","10am","8pm","Saturday","10am",,,,,,,,,,,,,,,,,,,"34149",,"İstanbul","Gazi Evrenos Cd. No:44","Lady Sauna SPA",,
"Slim Life Güzellik Hydrafacial Cilt Bakımı, Microblading, Kıl Tekniği Kaş, Kirpik Lifting, Zayıflama, İncirli Caddesi, Kartaltepe Mh, Kartaltepe, Yeşil Adalı Sk. No:4A, 34145 Bakırköy, Türkiye","Bakırköy","TR",,"0x14cabb5042d5c00b:0x5c59ab6509e3d8f8","/g/11b8b2p0_4","40.9848117","28.87317","İncirli Caddesi, Kartaltepe Mh, Yeşil Adalı Sk. No:4A","+905444664133","0544 466 41 33","ChIJC8DVQlC7yhQR-NjjCWWrWVw","9pm","Saturday","8am","9pm","Saturday","8am",,,,,,,,,,,,,,,,,,,"34145",,"İstanbul","İncirli Caddesi, Kartaltepe Mh, Yeşil Adalı Sk. No:4A","Slim Life Güzellik Hydrafacial Cilt Bakımı, Microblading, Kıl Tekniği Kaş, Kirpik Lifting, Zayıflama",,
"Celinesta Beauty & Spa, Yeşilköy, İstasyon Cd. No:29, 34149 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14caa347b1a247c1:0x220c1d091a8b420f","/g/11fnndyz91","40.9599878","28.8236949","İstasyon Cd. No:29","+905322843891","0532 284 38 91","ChIJwUeisUejyhQRD0KLGgkdDCI","9pm","Saturday","10:30am","9pm","Saturday","10:30am",,,,,,,,,,,,,,,,,,,"34149",,"İstanbul","İstasyon Cd. No:29","Celinesta Beauty & Spa",,
"Özlem Şahin Beauty Palace | Bakırköy Güzellik Salonu| Bakırköy Protez Tırnak, Ataköy nef22, Ataköy 7-8-9-10. Kısım, A blok Kat:1 D:24, 34158 Bakırköy/İstanbul, Türkiye","Bakırköy","TR",,"0x14cab7dfcd98138f:0xc1734c44f0bada20","/g/11vtb8jqkl","40.9916755","28.8352274","Ataköy nef22, A blok Kat:1 D:24","+905462739788","0546 273 97 88","ChIJjxOYzd-3yhQRINq68ERMc8E","8pm","Saturday","10am","8pm","Saturday","10am",,,,,,,,,,,,,,,,,,,"34158",,"İstanbul","Ataköy nef22, A blok Kat:1 D:24","Özlem Şahin Beauty Palace | Bakırköy Güzellik Salonu| Bakırköy Protez Tırnak",,
